17.121.113.20 - - [29/Jan/2022:05:03:51 -0800] "GET /self.logs/error.log.2020-09-30 HTTP/1.1" 200 307 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)" 
114.119.149.78 - - [29/Jan/2022:05:10:24 -0800] "GET /self.logs/2016/error.log.2016-03-06.gz HTTP/1.1" 200 1172 "-" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)" 
118.184.177.110 - - [29/Jan/2022:05:17:07 -0800] "GET / HTTP/1.1" 301 438 "-" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)" 
17.121.114.209 - - [29/Jan/2022:05:17:35 -0800] "GET /self.logs/error.log.2020-05-16 HTTP/1.1" 200 307 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)" 
118.184.177.110 - - [29/Jan/2022:05:18:38 -0800] "GET / HTTP/1.1" 200 13149 "-" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)" 
114.119.135.212 - - [29/Jan/2022:05:22:01 -0800] "GET /self.logs/access.log.2020-07-02.gz HTTP/1.1" 200 10412 "-" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)" 
114.119.135.212 - - [29/Jan/2022:05:33:48 -0800] "GET /self.logs/access.log.2018-01-10.gz HTTP/1.1" 200 21284 "-" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)" 
17.121.114.129 - - [29/Jan/2022:05:42:24 -0800] "GET /self.logs/error.log.2020-01-27 HTTP/1.1" 200 307 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)" 
17.121.114.181 - - [29/Jan/2022:05:46:19 -0800] "GET /self.logs/error.log.2020-03-06 HTTP/1.1" 200 307 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)" 
17.121.115.2 - - [29/Jan/2022:05:47:40 -0800] "GET /self.logs/error.log.2020-06-09 HTTP/1.1" 200 307 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)" 
17.121.113.138 - - [29/Jan/2022:05:48:05 -0800] "GET /self.logs/error.log.2020-03-22 HTTP/1.1" 200 307 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)" 
41.140.16.246 - - [29/Jan/2022:05:50:14 -0800] "GET /self.logs/ HTTP/1.1" 200 34195 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36 Edg/97.0.1072.69" 
41.140.16.246 - - [29/Jan/2022:05:50:17 -0800] "GET /favicon.ico HTTP/1.1" 304 261 "http://www.secrepo.com/self.logs/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36 Edg/97.0.1072.69" 
41.140.16.246 - - [29/Jan/2022:05:50:56 -0800] "GET /self.logs/?C=S;O=A HTTP/1.1" 200 40720 "http://www.secrepo.com/self.logs/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36 Edg/97.0.1072.69" 
41.140.16.246 - - [29/Jan/2022:05:51:00 -0800] "GET /self.logs/?C=S;O=D HTTP/1.1" 200 40771 "http://www.secrepo.com/self.logs/?C=S;O=A" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36 Edg/97.0.1072.69" 
41.140.16.246 - - [29/Jan/2022:05:51:08 -0800] "GET /self.logs/access.log.2017-01-10.gz HTTP/1.1" 200 96226 "http://www.secrepo.com/self.logs/?C=S;O=D" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36 Edg/97.0.1072.69" 
41.140.16.246 - - [29/Jan/2022:06:00:39 -0800] "GET /self.logs/access.log.2017-01-23.gz HTTP/1.1" 200 45700 "http://www.secrepo.com/self.logs/?C=S;O=D" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36 Edg/97.0.1072.69" 
66.160.140.183 - - [29/Jan/2022:06:01:05 -0800] "GET /robots.txt HTTP/1.1" 200 377 "-" "The Knowledge AI" 
66.160.140.183 - - [29/Jan/2022:06:01:05 -0800] "GET / HTTP/1.1" 200 13162 "-" "The Knowledge AI" 
41.140.16.246 - - [29/Jan/2022:06:02:53 -0800] "GET /self.logs/access.log.2017-01-12.gz HTTP/1.1" 200 86574 "http://www.secrepo.com/self.logs/?C=S;O=D" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36 Edg/97.0.1072.69" 
41.140.16.246 - - [29/Jan/2022:06:05:01 -0800] "GET /self.logs/ HTTP/1.1" 200 34195 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36 Edg/97.0.1072.69" 
41.140.16.246 - - [29/Jan/2022:06:05:05 -0800] "GET /self.logs/2016/ HTTP/1.1" 200 7860 "http://www.secrepo.com/self.logs/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36 Edg/97.0.1072.69" 
41.140.16.246 - - [29/Jan/2022:06:05:21 -0800] "GET /self.logs/2016/?C=S;O=A HTTP/1.1" 200 8583 "http://www.secrepo.com/self.logs/2016/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36 Edg/97.0.1072.69" 
41.140.16.246 - - [29/Jan/2022:06:05:34 -0800] "GET /self.logs/2016/?C=S;O=D HTTP/1.1" 200 8447 "http://www.secrepo.com/self.logs/2016/?C=S;O=A" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36 Edg/97.0.1072.69" 
103.45.105.78 - - [29/Jan/2022:06:08:01 -0800] "GET / HTTP/1.1" 301 438 "https://www.whole-search.com/cache/Google/secrepo.com?q=Google+global+ranking+site%3Awww.whole-search.com" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36" 
