119.42.145.82 - - [22/Mar/2024:03:21:53 -0700] "GET /App_Code/net/controller.ashx?action=catchimage HTTP/1.1" 404 328 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36" 
119.42.145.82 - - [22/Mar/2024:03:21:54 -0700] "GET /assets/ueditor/net/controller.ashx?action=catchimage HTTP/1.1" 404 328 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36" 
113.215.188.28 - - [22/Mar/2024:03:24:50 -0700] "GET / HTTP/1.1" 301 475 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_0) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.56 Safari/535.11" 
113.215.188.28 - - [22/Mar/2024:03:24:50 -0700] "GET / HTTP/1.1" 200 13185 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_0) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.56 Safari/535.11" 
113.215.188.28 - - [22/Mar/2024:03:24:51 -0700] "GET / HTTP/1.1" 301 474 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.375.429 Safari/537.36" 
113.215.188.28 - - [22/Mar/2024:03:24:51 -0700] "GET / HTTP/1.1" 200 13162 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.375.429 Safari/537.36" 
113.215.188.28 - - [22/Mar/2024:03:24:51 -0700] "GET /bootstrap/img/favicon.ico HTTP/1.1" 301 524 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.375.429 Safari/537.36" 
113.215.188.28 - - [22/Mar/2024:03:24:51 -0700] "GET /bootstrap/img/favicon.ico HTTP/1.1" 200 690 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.375.429 Safari/537.36" 
107.20.105.74 - - [22/Mar/2024:03:26:40 -0700] "HEAD / HTTP/1.1" 301 186 "-" "DreamHost SiteMonitor 1.0" 
107.20.105.74 - - [22/Mar/2024:03:26:40 -0700] "HEAD / HTTP/1.1" 200 359 "http://66.33.221.139" "DreamHost SiteMonitor 1.0" 
45.91.20.72 - - [22/Mar/2024:03:27:11 -0700] "HEAD /old/archive.zip HTTP/1.1" 301 182 "-" "-" 
