183.94.106.60 - - [12/Apr/2023:03:47:06 -0700] "GET /self.logs/?C=D;O=A HTTP/1.1" 200 42369 "http://www.secrepo.com/self.logs/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.39" 
183.94.106.60 - - [12/Apr/2023:03:41:51 -0700] "GET /Security-Data-Analysis/Lab_1/conn.log.zip HTTP/1.1" 200 17499836 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.39" 
77.75.78.172 - - [12/Apr/2023:03:47:42 -0700] "GET / HTTP/1.1" 200 13186 "-" "Mozilla/5.0 (compatible; SeznamBot/4.0-RC1; +http://napoveda.seznam.cz/seznambot-intro/)" 
183.94.106.60 - - [12/Apr/2023:03:47:37 -0700] "GET /self.logs/?C=D;O=D HTTP/1.1" 200 43618 "http://www.secrepo.com/self.logs/?C=D;O=A" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.39" 
46.101.9.216 - - [12/Apr/2023:03:53:20 -0700] "GET / HTTP/1.1" 301 438 "-" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.116 Safari/537.36" 
46.101.9.216 - - [12/Apr/2023:03:53:21 -0700] "GET / HTTP/1.1" 200 13149 "-" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.116 Safari/537.36" 
46.101.9.216 - - [12/Apr/2023:03:53:21 -0700] "GET /Datasets HTTP/1.1" 404 291 "-" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.116 Safari/537.36" 
46.101.9.216 - - [12/Apr/2023:03:53:22 -0700] "GET /honeypot/Honeypot HTTP/1.1" 404 291 "-" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.116 Safari/537.36" 
46.101.9.216 - - [12/Apr/2023:03:53:22 -0700] "GET /self.logs/ HTTP/1.1" 200 42332 "-" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.116 Safari/537.36" 
46.101.9.216 - - [12/Apr/2023:03:53:29 -0700] "GET /honeypot/BSidesDFW HTTP/1.1" 404 291 "-" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.116 Safari/537.36" 
46.101.9.216 - - [12/Apr/2023:03:53:30 -0700] "GET /self.logs/?C=N;O=D HTTP/1.1" 200 43581 "-" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.116 Safari/537.36" 
46.101.9.216 - - [12/Apr/2023:03:53:37 -0700] "GET /self.logs/error.log.2020-07-10 HTTP/1.1" 200 314 "-" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.116 Safari/537.36" 
49.7.20.111 - - [12/Apr/2023:04:11:20 -0700] "GET / HTTP/1.1" 200 13149 "-" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)" 
40.77.167.164 - - [12/Apr/2023:04:14:07 -0700] "GET /self.logs/ HTTP/1.1" 200 42369 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36" 
40.77.167.202 - - [12/Apr/2023:04:14:17 -0700] "GET /self.logs/access.log.2017-01-01.gz HTTP/1.1" 301 543 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36" 
51.222.253.20 - - [12/Apr/2023:04:14:18 -0700] "GET /robots.txt HTTP/1.1" 200 333 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" 
157.55.39.209 - - [12/Apr/2023:04:14:17 -0700] "GET /self.logs/?C=D;O=D HTTP/1.1" 200 43618 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36" 
91.219.254.103 - - [12/Apr/2023:04:14:26 -0700] "GET /robots.txt HTTP/1.1" 200 377 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)" 
