46.232.120.33 - - [25/Jun/2023:01:50:20 -0700] "GET /bootstrap/img/favicon.ico HTTP/1.1" 304 226 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36 Edg/116.0.0.0" 
221.238.131.162 - - [25/Jun/2023:02:02:59 -0700] "GET /maccdc2012/http.log.gz HTTP/1.1" 206 620270 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36" 
221.238.131.162 - - [25/Jun/2023:02:03:19 -0700] "GET /Security-Data-Analysis/Lab_1/conn.log.zip HTTP/1.1" 200 601520 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36" 
221.238.131.162 - - [25/Jun/2023:02:03:25 -0700] "GET /maccdc2012/http.log.gz HTTP/1.1" 206 250769 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36" 
221.238.131.162 - - [25/Jun/2023:02:02:31 -0700] "GET /maccdc2012/http.log.gz HTTP/1.1" 206 1369480 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36" 
221.238.131.162 - - [25/Jun/2023:02:03:21 -0700] "GET /maccdc2012/http.log.gz HTTP/1.1" 206 291298 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36" 
221.238.131.162 - - [25/Jun/2023:02:03:21 -0700] "GET /maccdc2012/http.log.gz HTTP/1.1" 206 294111 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36" 
221.238.131.162 - - [25/Jun/2023:02:03:29 -0700] "GET /maccdc2012/http.log.gz HTTP/1.1" 206 110731 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36" 
221.238.131.162 - - [25/Jun/2023:02:03:29 -0700] "GET /maccdc2012/http.log.gz HTTP/1.1" 206 116137 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36" 
221.238.131.162 - - [25/Jun/2023:02:03:25 -0700] "GET /maccdc2012/http.log.gz HTTP/1.1" 206 221668 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36" 
221.238.131.162 - - [25/Jun/2023:02:03:29 -0700] "GET /maccdc2012/http.log.gz HTTP/1.1" 206 137468 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36" 
221.238.131.162 - - [25/Jun/2023:02:03:09 -0700] "GET /maccdc2012/http.log.gz HTTP/1.1" 206 470706 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36" 
221.238.131.162 - - [25/Jun/2023:02:02:29 -0700] "GET /maccdc2012/http.log.gz HTTP/1.1" 206 1667320 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36" 
221.238.131.162 - - [25/Jun/2023:02:03:15 -0700] "GET /maccdc2012/http.log.gz HTTP/1.1" 206 399811 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36" 
221.238.131.162 - - [25/Jun/2023:02:02:03 -0700] "GET /maccdc2012/conn.log.gz HTTP/1.1" 206 6722245 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36" 
221.238.131.162 - - [25/Jun/2023:02:03:28 -0700] "GET /maccdc2012/http.log.gz HTTP/1.1" 206 172673 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36" 
221.238.131.162 - - [25/Jun/2023:02:03:01 -0700] "GET /maccdc2012/http.log.gz HTTP/1.1" 206 591048 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36" 
221.238.131.162 - - [25/Jun/2023:02:02:33 -0700] "GET /maccdc2012/http.log.gz HTTP/1.1" 206 1601620 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36" 
221.238.131.162 - - [25/Jun/2023:02:02:31 -0700] "GET /maccdc2012/http.log.gz HTTP/1.1" 206 1154860 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36" 
221.238.131.162 - - [25/Jun/2023:02:02:27 -0700] "GET /maccdc2012/http.log.gz HTTP/1.1" 206 1356340 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36" 
221.238.131.162 - - [25/Jun/2023:02:02:33 -0700] "GET /maccdc2012/http.log.gz HTTP/1.1" 206 1284800 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36" 
221.238.131.162 - - [25/Jun/2023:02:03:21 -0700] "GET /maccdc2012/http.log.gz HTTP/1.1" 206 325487 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36" 
221.238.131.162 - - [25/Jun/2023:02:02:33 -0700] "GET /maccdc2012/http.log.gz HTTP/1.1" 206 1446860 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36" 
221.238.131.162 - - [25/Jun/2023:02:02:33 -0700] "GET /maccdc2012/http.log.gz HTTP/1.1" 206 1354880 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36" 
221.238.131.162 - - [25/Jun/2023:02:02:31 -0700] "GET /maccdc2012/http.log.gz HTTP/1.1" 206 1039520 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36" 
221.238.131.162 - - [25/Jun/2023:02:02:33 -0700] "GET /maccdc2012/http.log.gz HTTP/1.1" 206 1446860 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36" 
221.238.131.162 - - [25/Jun/2023:02:02:33 -0700] "GET /maccdc2012/http.log.gz HTTP/1.1" 206 1359260 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36" 
221.238.131.162 - - [25/Jun/2023:02:02:31 -0700] "GET /maccdc2012/http.log.gz HTTP/1.1" 206 1511100 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36" 
221.238.131.162 - - [25/Jun/2023:02:02:31 -0700] "GET /maccdc2012/http.log.gz HTTP/1.1" 206 1829380 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36" 
221.238.131.162 - - [25/Jun/2023:02:02:29 -0700] "GET /maccdc2012/http.log.gz HTTP/1.1" 206 1259980 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36" 
221.238.131.162 - - [25/Jun/2023:02:02:33 -0700] "GET /maccdc2012/http.log.gz HTTP/1.1" 206 992800 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36" 
221.238.131.162 - - [25/Jun/2023:02:02:33 -0700] "GET /maccdc2012/http.log.gz HTTP/1.1" 206 1241000 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36" 
221.238.131.162 - - [25/Jun/2023:02:02:33 -0700] "GET /maccdc2012/http.log.gz HTTP/1.1" 206 944620 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36" 
221.238.131.162 - - [25/Jun/2023:02:02:33 -0700] "GET /maccdc2012/http.log.gz HTTP/1.1" 206 1124200 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36" 
221.238.131.162 - - [25/Jun/2023:02:02:33 -0700] "GET /maccdc2012/http.log.gz HTTP/1.1" 206 1511100 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36" 
221.238.131.162 - - [25/Jun/2023:02:02:27 -0700] "GET /maccdc2012/http.log.gz HTTP/1.1" 206 1944720 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36" 
221.238.131.162 - - [25/Jun/2023:02:03:40 -0700] "GET /maccdc2012/http.log.gz HTTP/1.1" 206 17962 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36" 
221.238.131.162 - - [25/Jun/2023:02:02:33 -0700] "GET /maccdc2012/http.log.gz HTTP/1.1" 206 1551980 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36" 
221.238.131.162 - - [25/Jun/2023:02:02:07 -0700] "GET /maccdc2012/conn.log.gz HTTP/1.1" 206 6649190 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36" 
