130.204.136.243 - - [12/Apr/2024:04:13:24 -0700] "GET /css/style.css HTTP/1.1" 404 328 "http://www.secrepo.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" 
130.204.136.243 - - [12/Apr/2024:04:13:24 -0700] "GET /GitHub-Mark.png HTTP/1.1" 200 7533 "http://www.secrepo.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" 
130.204.136.243 - - [12/Apr/2024:04:13:25 -0700] "GET /bootstrap/img/favicon.ico HTTP/1.1" 200 690 "http://www.secrepo.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" 
130.204.136.243 - - [12/Apr/2024:04:13:25 -0700] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 328 "-" "Safari/19618.2.4.11.2 CFNetwork/1496.0.1 Darwin/23.5.0" 
130.204.136.243 - - [12/Apr/2024:04:13:25 -0700] "GET /apple-touch-icon.png HTTP/1.1" 404 305 "-" "Safari/19618.2.4.11.2 CFNetwork/1496.0.1 Darwin/23.5.0" 
114.119.157.24 - - [12/Apr/2024:04:17:04 -0700] "GET /self.logs/error.log.2020-09-23 HTTP/1.1" 200 351 "http://www.secrepo.com/self.logs?C=N%3BO%3DD" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)" 
159.226.94.118 - - [12/Apr/2024:04:21:40 -0700] "GET /favicon.ico HTTP/1.1" 200 391 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36" 
111.202.101.135 - - [12/Apr/2024:04:22:10 -0700] "GET / HTTP/1.1" 200 49096 "-" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)" 
51.222.253.5 - - [12/Apr/2024:04:25:00 -0700] "GET /robots.txt HTTP/1.1" 301 439 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" 
51.222.253.5 - - [12/Apr/2024:04:25:00 -0700] "GET /robots.txt HTTP/1.1" 200 333 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" 
121.22.5.199 - - [12/Apr/2024:04:28:02 -0700] "GET /admin.php HTTP/1.1" 404 328 "-" "python-requests/2.31.0" 
121.22.5.199 - - [12/Apr/2024:04:28:03 -0700] "GET /login.php?s=Admin/login HTTP/1.1" 404 328 "-" "python-requests/2.31.0" 
52.167.144.188 - - [12/Apr/2024:04:28:32 -0700] "GET /self.logs/error.log.2020-06-11 HTTP/1.1" 200 307 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36" 
52.167.144.209 - - [12/Apr/2024:04:31:09 -0700] "GET /self.logs/error.log.2018-04-20.gz HTTP/1.1" 200 3806 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36" 
52.167.144.194 - - [12/Apr/2024:04:36:56 -0700] "GET /self.logs/access.log.2023-01-30.gz HTTP/1.1" 200 12247 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36" 
