185.191.171.15 - - [08/Mar/2024:03:05:05 -0800] "GET /Datasets%20Description/HTML_Bro_log_3/notice.html HTTP/1.1" 200 1965 "-" "Mozilla/5.0 (compatible; SemrushBot/7~bl; +http://www.semrush.com/bot.html)" 
154.54.249.15 - - [08/Mar/2024:03:05:14 -0800] "GET /self.logs/error.log.2021-12-10 HTTP/1.0" 200 314 "-" "Mozilla/5.0 (compatible; Barkrowler/0.9; +https://babbar.tech/crawler)" 
154.54.249.161 - - [08/Mar/2024:03:05:40 -0800] "GET /self.logs/error.log.2021-12-04 HTTP/1.0" 200 314 "-" "Mozilla/5.0 (compatible; Barkrowler/0.9; +https://babbar.tech/crawler)" 
154.54.249.160 - - [08/Mar/2024:03:06:05 -0800] "GET /self.logs/error.log.2021-11-21 HTTP/1.0" 200 314 "-" "Mozilla/5.0 (compatible; Barkrowler/0.9; +https://babbar.tech/crawler)" 
154.54.249.162 - - [08/Mar/2024:03:06:31 -0800] "GET /self.logs/error.log.2021-12-23 HTTP/1.0" 200 314 "-" "Mozilla/5.0 (compatible; Barkrowler/0.9; +https://babbar.tech/crawler)" 
140.207.18.25 - - [08/Mar/2024:03:01:36 -0800] "GET /Security-Data-Analysis/Lab_1/conn.log.zip HTTP/1.1" 206 108108 "-" "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0; WebView/1.0)" 
140.207.18.25 - - [08/Mar/2024:03:01:39 -0800] "GET /Security-Data-Analysis/Lab_1/conn.log.zip HTTP/1.1" 206 108108 "-" "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0; WebView/1.0)" 
107.20.105.74 - - [08/Mar/2024:03:06:40 -0800] "HEAD / HTTP/1.1" 301 186 "-" "DreamHost SiteMonitor 1.0" 
107.20.105.74 - - [08/Mar/2024:03:06:40 -0800] "HEAD / HTTP/1.1" 200 359 "http://66.33.221.139" "DreamHost SiteMonitor 1.0" 
154.54.249.162 - - [08/Mar/2024:03:06:56 -0800] "GET /self.logs/error.log.2021-10-28 HTTP/1.0" 200 314 "-" "Mozilla/5.0 (compatible; Barkrowler/0.9; +https://babbar.tech/crawler)" 
154.54.249.161 - - [08/Mar/2024:03:07:21 -0800] "GET /self.logs/error.log.2021-07-18 HTTP/1.0" 200 1061 "-" "Mozilla/5.0 (compatible; Barkrowler/0.9; +https://babbar.tech/crawler)" 
154.54.249.163 - - [08/Mar/2024:03:07:46 -0800] "GET /self.logs/error.log.2021-08-14 HTTP/1.0" 200 314 "-" "Mozilla/5.0 (compatible; Barkrowler/0.9; +https://babbar.tech/crawler)" 
154.54.249.163 - - [08/Mar/2024:03:08:12 -0800] "GET /self.logs/error.log.2021-03-08 HTTP/1.0" 200 1652 "-" "Mozilla/5.0 (compatible; Barkrowler/0.9; +https://babbar.tech/crawler)" 
154.54.249.163 - - [08/Mar/2024:03:08:37 -0800] "GET /self.logs/error.log.2021-01-07 HTTP/1.0" 200 314 "-" "Mozilla/5.0 (compatible; Barkrowler/0.9; +https://babbar.tech/crawler)" 
154.54.249.15 - - [08/Mar/2024:03:09:03 -0800] "GET /self.logs/error.log.2021-08-13 HTTP/1.0" 200 314 "-" "Mozilla/5.0 (compatible; Barkrowler/0.9; +https://babbar.tech/crawler)" 
154.54.249.160 - - [08/Mar/2024:03:09:28 -0800] "GET /self.logs/error.log.2021-08-26 HTTP/1.0" 200 314 "-" "Mozilla/5.0 (compatible; Barkrowler/0.9; +https://babbar.tech/crawler)" 
154.54.249.160 - - [08/Mar/2024:03:09:53 -0800] "GET /self.logs/error.log.2021-01-22 HTTP/1.0" 200 1648 "-" "Mozilla/5.0 (compatible; Barkrowler/0.9; +https://babbar.tech/crawler)" 
154.54.249.161 - - [08/Mar/2024:03:10:19 -0800] "GET /self.logs/error.log.2021-07-27 HTTP/1.0" 200 1068 "-" "Mozilla/5.0 (compatible; Barkrowler/0.9; +https://babbar.tech/crawler)" 
154.54.249.161 - - [08/Mar/2024:03:10:44 -0800] "GET /self.logs/error.log.2021-07-12 HTTP/1.0" 200 1068 "-" "Mozilla/5.0 (compatible; Barkrowler/0.9; +https://babbar.tech/crawler)" 
154.54.249.160 - - [08/Mar/2024:03:11:09 -0800] "GET /self.logs/error.log.2021-01-18 HTTP/1.0" 200 314 "-" "Mozilla/5.0 (compatible; Barkrowler/0.9; +https://babbar.tech/crawler)" 
154.54.249.160 - - [08/Mar/2024:03:11:35 -0800] "GET /self.logs/error.log.2021-06-05 HTTP/1.0" 200 314 "-" "Mozilla/5.0 (compatible; Barkrowler/0.9; +https://babbar.tech/crawler)" 
